,movieId,rating,months_w_data
0,61,2465,213
1,63,2744,259
2,64,2192,189
3,65,5837,269
4,66,2586,216
5,70,15821,272
6,74,3833,238
7,75,603,159
8,79,6341,255
9,86,4606,244
10,87,1112,220
11,88,5907,267
12,92,2462,222
13,94,4383,256
14,95,25847,271
15,100,4451,229
16,101,4953,268
17,102,2142,181
18,103,1209,170
19,104,22247,271
20,107,8122,270
21,108,136,37
22,113,1158,159
23,118,1177,162
24,120,168,77
25,125,3679,249
26,129,201,69
27,135,7737,262
28,140,5649,230
29,141,26041,270
30,291,715,184
31,402,66,44
32,494,14504,267
33,604,12,12
34,605,3887,258
35,608,54500,270
36,609,2872,240
37,611,1937,239
38,612,1684,182
39,613,2905,256
40,619,784,160
41,626,684,116
42,628,12930,270
43,630,237,73
44,631,2638,250
45,635,1161,169
46,637,6954,258
47,639,1211,167
48,640,3393,215
49,643,28,20
50,644,21,15
51,647,8716,264
52,648,45064,268
53,650,1489,165
54,651,54,38
55,653,16831,268
56,654,19,14
57,656,1285,204
58,660,134,39
59,661,12747,269
60,662,3130,248
61,663,3511,229
62,664,333,82
63,667,1171,179
64,671,7357,263
65,673,12913,270
66,676,30,18
67,685,567,130
68,691,1272,206
69,692,957,171
70,694,2926,226
71,695,888,137
72,697,1192,180
73,703,384,111
74,704,1944,227
75,705,453,137
76,706,261,58
77,707,4930,241
78,708,16853,268
79,710,1326,187
80,711,2553,244
81,719,9109,264
82,720,9674,269
83,722,362,101
84,724,10633,268
85,725,1640,188
86,726,568,118
87,731,889,136
88,732,252,60
89,733,37936,268
90,734,64,40
91,736,38662,268
92,737,5001,260
93,739,15,11
94,742,2076,244
95,743,7573,262
96,747,1176,188
97,748,5675,254
98,761,4181,250
99,762,11610,267
100,763,61,39
101,765,6007,268
102,766,1899,208
103,769,142,64
104,778,31545,268
105,779,559,150
106,780,58949,267
107,781,2187,238
108,782,2995,245
109,783,13404,267
110,784,17388,266
111,785,12589,266
112,786,19078,266
113,788,22507,267
114,798,3418,246
115,799,7104,266
116,800,7567,264
117,801,1854,242
118,802,14742,267
119,803,609,153
120,804,2368,223
121,805,13931,266
122,806,590,148
123,808,871,163
124,809,1451,184
125,810,2158,248
126,813,510,155
127,815,31,23
128,818,3156,248
129,825,26,22
130,828,1736,218
131,829,1983,233
132,830,8077,263
133,832,16707,266
134,833,1562,218
135,834,214,54
136,835,1037,194
137,836,5613,262
138,837,6893,266
139,838,9226,266
140,839,4760,249
141,840,736,174
142,842,2176,226
143,847,120,47
144,848,2175,207
145,849,9878,265
146,851,1749,243
147,852,12021,264
148,859,19,11
149,862,376,111
150,865,107,48
151,866,6774,262
152,867,357,140
153,869,590,121
154,870,500,157
155,871,63,26
156,877,178,75
157,879,2388,234
158,880,6101,260
159,881,1202,204
160,882,852,138
161,884,61,30
162,885,669,160
163,886,1881,244
164,887,50,35
165,892,1461,208
166,893,610,161
167,981,232,71
168,984,248,82
169,986,3371,261
170,987,293,96
171,988,557,135
172,990,984,194
173,991,2712,243
174,992,282,102
175,993,254,95
176,994,5591,260
177,996,3564,254
178,997,230,74
179,998,865,178
180,999,3278,248
181,1000,222,108
182,1002,148,56
183,1003,1723,202
184,1004,1670,209
185,1005,2447,255
186,1006,1643,193
187,1034,1628,232
188,1038,248,89
189,1040,161,61
190,1041,6054,262
191,1042,9707,263
192,1043,1270,176
193,1044,537,143
194,1045,51,26
195,1046,1439,242
196,1047,9873,262
197,1049,5633,256
198,1050,1808,195
199,1051,1425,224
200,1052,49,14
201,1053,220,80
202,1054,818,154
203,1055,362,103
204,1056,767,171
205,1057,3745,245
206,1058,140,62
207,1059,12541,263
208,1060,10834,263
209,1061,10473,263
210,1062,81,56
211,1063,167,70
212,1064,3721,263
213,1098,136,55
214,1102,86,43
215,1105,1014,168
216,1106,44,21
217,1109,15,9
218,1110,36,21
219,1111,1984,255
220,1112,405,104
221,1113,1125,168
222,1114,517,146
223,1117,263,120
224,1120,10497,261
225,1123,218,95
226,1137,77,38
227,1139,29,19
228,1140,41,26
229,1142,69,43
230,1143,63,35
231,1144,176,60
232,1145,61,30
233,1147,4084,260
234,1165,42,21
235,1166,43,20
236,1167,927,169
237,1168,216,104
238,1181,110,64
239,1183,18014,262
240,1310,401,136
241,1311,164,72
242,1312,355,104
243,1313,123,70
244,1314,52,31
245,1316,49,28
246,1317,347,107
247,1319,28,15
248,1324,253,105
249,1351,418,150
250,1352,816,178
251,1353,2313,212
252,1354,4338,261
253,1355,869,215
254,1356,22492,262
255,1357,9156,262
256,1358,15264,262
257,1359,4537,261
258,1361,1821,255
259,1363,1843,202
260,1365,1205,193
261,1366,2184,252
262,1367,10525,262
263,1383,151,69
264,1384,131,46
265,1390,1735,207
266,1391,20078,261
267,1392,1784,204
268,1393,25884,261
269,1397,663,158
270,1398,894,167
271,1399,1561,217
272,1400,39,20
273,1401,1574,204
274,1404,684,144
275,1405,10479,261
276,1407,19844,261
277,1409,7159,258
278,1410,788,133
279,1411,7124,260
280,1412,291,113
281,1413,387,114
282,1414,1858,185
283,1415,283,82
284,1416,6538,259
285,1417,805,170
286,1420,92,47
287,1422,3262,241
288,1423,191,88
289,1424,31,20
290,1425,2268,221
291,1426,265,105
292,1427,828,170
293,1429,3863,231
294,1430,223,112
295,1431,3547,259
296,1432,1456,221
297,1438,7286,259
298,1439,367,128
299,1442,776,174
300,1443,28,17
301,1445,1422,200
302,1446,2542,243
303,1447,639,178
304,1448,55,23
305,1449,6867,259
306,1450,303,135
307,1453,1791,226
308,1454,828,196
309,1455,181,69
310,1456,593,180
311,1457,3149,248
312,1458,241,92
313,1459,3884,253
314,1460,860,170
315,1461,2842,255
316,1462,21,13
317,1463,384,106
318,1464,5099,259
319,1465,1136,171
320,1466,12695,259
321,1467,35,23
322,1468,1283,192
323,1470,58,31
324,1471,100,45
325,1472,418,117
326,1473,242,89
327,1474,2208,236
328,1475,867,186
329,1476,6560,255
330,1477,410,106
331,1479,9704,257
332,1480,2010,212
333,1482,536,127
334,1483,3313,255
335,1484,1075,173
336,1485,22136,258
337,1486,94,46
338,1487,1934,246
339,1488,3939,244
340,1489,485,166
341,1490,359,135
342,1493,234,86
343,1495,770,197
344,1496,417,138
345,1497,828,204
346,1498,1285,191
347,1499,7106,257
348,1500,16248,257
349,1501,212,73
350,1502,273,118
351,1503,1379,219
352,1504,144,57
353,1507,402,138
354,1508,214,85
355,1509,216,132
356,1510,26,19
357,1511,168,68
