,movieId,rating,months_w_data
0,1,68469,272
1,2,27143,272
2,3,15585,269
3,4,2989,227
4,5,15474,272
5,6,28683,271
6,7,15301,272
7,8,1539,215
8,9,4449,244
9,10,33086,272
10,11,19669,272
11,12,4524,261
12,13,1952,264
13,14,6838,263
14,15,3154,262
15,16,21165,272
16,17,24552,272
17,18,6255,271
18,19,24913,272
19,20,4658,257
20,21,25699,273
21,22,11136,271
22,23,4871,266
23,24,9191,270
24,25,24841,271
25,26,3028,232
26,27,1876,246
27,28,3424,264
28,29,10024,271
29,30,1361,182
30,31,11802,272
31,32,54846,272
32,33,72,48
33,34,35903,272
34,35,1572,172
35,36,23955,272
36,37,89,54
37,38,712,210
38,39,29422,272
39,40,945,144
40,41,5082,247
41,42,2620,235
42,43,2667,198
43,44,13098,272
44,45,9719,264
45,46,3334,221
46,47,55240,273
47,48,16358,272
48,49,268,135
49,50,62180,272
50,52,10398,264
51,54,1064,205
52,55,978,127
53,56,83,50
54,57,2530,222
55,59,205,82
56,60,7601,271
57,61,2465,213
58,62,23359,272
59,63,2744,259
60,64,2192,189
61,65,5837,269
62,66,2586,216
63,67,176,55
64,68,1318,170
65,69,5217,271
66,70,15821,272
67,71,1366,197
68,72,1334,246
69,73,3436,261
70,74,3833,238
71,75,603,159
72,76,3726,263
73,77,229,79
74,78,1284,194
75,79,6341,255
76,80,603,156
77,81,3449,249
78,82,2724,232
79,83,617,107
80,84,167,64
81,85,2834,201
82,86,4606,244
83,87,1112,220
84,88,5907,267
85,89,3489,255
86,90,226,82
87,92,2462,222
88,93,2183,238
89,94,4383,256
90,95,25847,271
91,96,514,102
92,97,2848,266
93,99,769,124
94,100,4451,229
95,101,4953,268
96,102,2142,181
97,103,1209,170
98,104,22247,271
99,105,11284,271
100,107,8122,270
101,108,136,37
102,109,18,15
103,110,68803,271
104,112,13417,266
105,113,1158,159
106,114,256,103
107,115,52,47
108,116,1046,175
109,117,1314,183
110,118,1177,162
111,119,272,69
112,120,168,77
113,124,342,91
114,125,3679,249
115,129,201,69
116,130,47,39
117,131,198,69
118,132,2210,201
119,133,21,16
120,134,37,25
121,135,7737,262
122,136,108,52
123,137,242,73
124,138,149,49
125,139,48,31
126,140,5649,230
127,141,26041,270
128,143,16,15
129,144,4675,228
130,145,15321,270
131,146,626,166
132,147,5088,269
133,148,374,111
134,150,58665,270
135,151,13600,269
136,152,708,176
137,153,38647,270
138,155,1321,154
139,156,1757,186
140,157,2768,251
141,158,15876,270
142,159,2478,242
143,160,15995,270
144,161,26316,270
145,163,17167,270
146,164,4608,238
147,165,41244,270
148,166,742,222
149,167,84,44
150,168,13746,270
151,169,4062,269
152,170,9574,270
153,171,1465,178
154,172,14458,269
155,173,17131,270
156,174,2226,207
157,175,5783,269
158,176,2486,242
159,177,2410,221
160,179,1272,181
161,180,9727,270
162,181,3001,262
163,182,718,150
164,185,26803,270
165,186,13063,266
166,187,987,187
167,188,2707,254
168,189,343,71
169,190,1035,216
170,191,1864,228
171,192,86,38
172,193,8937,268
173,194,6411,267
174,195,3386,230
175,196,15361,270
176,197,113,56
177,198,9919,268
178,200,356,86
179,201,387,100
180,202,477,162
181,203,6022,266
182,204,9299,267
183,205,1380,152
184,206,1059,129
185,207,6018,263
186,208,31310,270
187,209,778,141
188,210,502,132
189,212,482,151
190,215,7226,270
191,216,10663,270
192,217,1072,169
193,218,4431,243
194,219,694,160
195,220,312,120
196,222,6311,244
197,224,9139,268
198,226,48,30
199,228,487,112
200,230,7873,265
201,236,13649,270
202,237,6767,249
203,238,880,150
204,239,4014,270
205,240,867,146
206,241,597,148
207,243,482,116
208,244,308,121
209,250,1060,233
210,251,406,118
211,254,652,113
212,255,1127,160
213,257,4010,245
214,258,1829,224
215,259,2090,214
216,262,5025,270
217,267,4614,268
218,271,1314,165
219,274,1288,197
220,278,1179,135
221,279,958,135
222,280,5339,258
223,283,249,88
224,286,114,67
225,291,715,184
226,292,28986,270
227,294,866,125
228,295,479,109
229,297,273,80
230,303,7893,268
231,304,750,119
232,310,267,89
233,312,1362,159
234,322,3144,254
235,325,1098,172
236,327,8466,270
237,328,2616,239
238,330,1608,182
239,332,2280,246
240,333,13032,270
241,335,413,115
242,336,313,84
243,338,4925,257
244,339,25959,270
245,343,1011,196
246,358,2367,222
247,384,805,166
248,388,572,112
249,394,143,87
250,395,18,18
251,396,36,32
252,397,105,65
253,398,58,34
254,399,12,11
255,400,34,23
256,401,22,22
257,402,66,44
258,403,18,17
259,407,2133,264
260,467,806,114
261,468,8115,263
262,494,14504,267
263,562,7052,265
264,581,1969,233
265,585,11159,268
266,591,36,27
267,603,630,150
268,604,12,12
269,605,3887,258
270,606,1597,206
271,608,54500,270
272,609,2872,240
273,611,1937,239
274,612,1684,182
275,613,2905,256
276,617,581,169
277,618,379,111
278,619,784,160
279,623,46,23
280,624,57,40
281,626,684,116
282,627,1952,229
283,628,12930,270
284,629,29,23
285,630,237,73
286,631,2638,250
287,632,407,173
288,633,350,93
289,634,368,83
290,635,1161,169
291,636,40,25
292,637,6954,258
293,638,613,141
294,639,1211,167
295,640,3393,215
296,642,13,11
297,643,28,20
298,644,21,15
299,645,322,113
300,647,8716,264
301,648,45064,268
302,649,148,86
303,650,1489,165
304,651,54,38
305,652,82,59
306,653,16831,268
307,654,19,14
308,655,19,12
309,656,1285,204
310,658,55,25
311,660,134,39
312,661,12747,269
313,662,3130,248
314,663,3511,229
315,664,333,82
316,665,1417,256
317,666,191,107
318,667,1171,179
319,671,7357,263
320,672,28,20
321,673,12913,270
322,676,30,18
323,679,99,47
324,685,567,130
325,688,3137,238
326,690,87,37
327,691,1272,206
328,692,957,171
329,694,2926,226
330,695,888,137
331,696,130,77
332,697,1192,180
333,698,161,75
334,700,1312,211
335,703,384,111
336,704,1944,227
337,705,453,137
338,706,261,58
339,707,4930,241
340,708,16853,268
341,710,1326,187
342,711,2553,244
343,714,4306,264
344,715,650,143
345,717,98,53
346,719,9109,264
347,720,9674,269
348,721,18,13
349,722,362,101
350,724,10633,268
351,725,1640,188
352,726,568,118
353,727,29,20
354,728,3751,235
355,729,121,75
356,731,889,136
357,732,252,60
358,733,37936,268
359,734,64,40
360,736,38662,268
361,737,5001,260
362,738,30,22
363,739,15,11
364,741,8985,269
365,742,2076,244
366,743,7573,262
367,744,38,22
368,745,13866,269
369,747,1176,188
370,748,5675,254
371,753,530,100
372,754,397,136
373,761,4181,250
374,762,11610,267
375,763,61,39
376,764,618,141
377,765,6007,268
378,766,1899,208
379,767,315,95
380,768,35,14
381,769,142,64
382,777,33,25
383,778,31545,268
384,779,559,150
385,780,58949,267
386,781,2187,238
387,782,2995,245
388,783,13404,267
389,784,17388,266
390,785,12589,266
391,786,19078,266
392,787,93,39
393,788,22507,267
394,798,3418,246
395,799,7104,266
396,800,7567,264
397,801,1854,242
398,802,14742,267
399,803,609,153
400,804,2368,223
401,805,13931,266
402,806,590,148
403,807,222,73
404,808,871,163
405,809,1451,184
406,810,2158,248
407,813,510,155
408,814,14,13
409,815,31,23
410,816,79,27
411,818,3156,248
412,821,50,23
413,825,26,22
414,826,26,11
415,827,168,45
416,828,1736,218
417,829,1983,233
418,830,8077,263
419,831,230,87
420,832,16707,266
421,833,1562,218
422,834,214,54
423,835,1037,194
424,836,5613,262
425,837,6893,266
426,838,9226,266
427,839,4760,249
428,840,736,174
429,842,2176,226
430,843,63,23
431,846,420,110
432,847,120,47
433,848,2175,207
434,849,9878,265
435,850,268,125
436,851,1749,243
437,852,12021,264
438,859,19,11
439,862,376,111
440,864,93,44
441,865,107,48
442,866,6774,262
443,867,357,140
444,869,590,121
445,870,500,157
446,871,63,26
447,874,84,52
448,877,178,75
449,878,30,18
450,879,2388,234
451,880,6101,260
452,881,1202,204
453,882,852,138
454,884,61,30
455,885,669,160
456,886,1881,244
457,887,50,35
458,888,799,204
459,891,2256,247
460,892,1461,208
461,893,610,161
462,979,50,28
463,981,232,71
464,983,22,16
465,984,248,82
466,985,62,33
467,986,3371,261
468,987,293,96
469,988,557,135
470,989,81,43
471,990,984,194
472,991,2712,243
473,992,282,102
474,993,254,95
475,994,5591,260
476,996,3564,254
477,997,230,74
478,998,865,178
479,999,3278,248
480,1000,222,108
481,1002,148,56
482,1003,1723,202
483,1004,1670,209
484,1005,2447,255
485,1006,1643,193
486,1034,1628,232
487,1038,248,89
488,1039,63,34
489,1040,161,61
490,1041,6054,262
491,1042,9707,263
492,1043,1270,176
493,1044,537,143
494,1045,51,26
495,1046,1439,242
496,1047,9873,262
497,1049,5633,256
498,1050,1808,195
499,1051,1425,224
500,1052,49,14
501,1053,220,80
502,1054,818,154
503,1055,362,103
504,1056,767,171
505,1057,3745,245
506,1058,140,62
507,1059,12541,263
508,1060,10834,263
509,1061,10473,263
510,1062,81,56
511,1063,167,70
512,1064,3721,263
513,1087,295,89
514,1098,136,55
515,1102,86,43
516,1105,1014,168
517,1106,44,21
518,1109,15,9
519,1110,36,21
520,1111,1984,255
521,1112,405,104
522,1113,1125,168
523,1114,517,146
524,1115,44,23
525,1116,181,91
526,1117,263,120
527,1118,35,20
528,1119,186,78
529,1120,10497,261
530,1121,132,82
531,1122,22,16
532,1123,218,95
533,1137,77,38
534,1138,55,37
535,1139,29,19
536,1140,41,26
537,1141,8,8
538,1142,69,43
539,1143,63,35
540,1144,176,60
541,1145,61,30
542,1146,42,22
543,1147,4084,260
544,1165,42,21
545,1166,43,20
546,1167,927,169
547,1168,216,104
548,1170,177,87
549,1181,110,64
550,1183,18014,262
551,1308,28,18
552,1309,34,13
553,1310,401,136
554,1311,164,72
555,1312,355,104
556,1313,123,70
557,1314,52,31
558,1315,67,28
559,1316,49,28
560,1317,347,107
561,1318,186,64
562,1319,28,15
563,1324,253,105
564,1351,418,150
565,1352,816,178
566,1353,2313,212
567,1354,4338,261
568,1355,869,215
569,1356,22492,262
570,1357,9156,262
571,1358,15264,262
572,1359,4537,261
573,1361,1821,255
574,1363,1843,202
575,1364,102,58
576,1365,1205,193
577,1366,2184,252
578,1367,10525,262
579,1383,151,69
580,1384,131,46
581,1390,1735,207
582,1391,20078,261
583,1392,1784,204
584,1393,25884,261
585,1397,663,158
586,1398,894,167
587,1399,1561,217
588,1400,39,20
589,1401,1574,204
590,1404,684,144
591,1405,10479,261
592,1406,390,134
593,1407,19844,261
594,1409,7159,258
595,1410,788,133
596,1411,7124,260
597,1412,291,113
598,1413,387,114
599,1414,1858,185
600,1415,283,82
601,1416,6538,259
602,1417,805,170
603,1420,92,47
604,1421,209,57
605,1422,3262,241
606,1423,191,88
607,1424,31,20
608,1425,2268,221
609,1426,265,105
610,1427,828,170
611,1428,333,92
612,1429,3863,231
613,1430,223,112
614,1431,3547,259
615,1432,1456,221
616,1438,7286,259
617,1439,367,128
618,1442,776,174
619,1443,28,17
620,1445,1422,200
621,1446,2542,243
622,1447,639,178
623,1448,55,23
624,1449,6867,259
625,1450,303,135
626,1453,1791,226
627,1454,828,196
628,1455,181,69
629,1456,593,180
630,1457,3149,248
631,1458,241,92
632,1459,3884,253
633,1460,860,170
634,1461,2842,255
635,1462,21,13
636,1463,384,106
637,1464,5099,259
638,1465,1136,171
639,1466,12695,259
640,1467,35,23
641,1468,1283,192
642,1470,58,31
643,1471,100,45
644,1472,418,117
645,1473,242,89
646,1474,2208,236
647,1475,867,186
648,1476,6560,255
649,1477,410,106
650,1479,9704,257
651,1480,2010,212
652,1482,536,127
653,1483,3313,255
654,1484,1075,173
655,1485,22136,258
656,1486,94,46
657,1487,1934,246
658,1488,3939,244
659,1489,485,166
660,1490,359,135
661,1493,234,86
662,1495,770,197
663,1496,417,138
664,1497,828,204
665,1498,1285,191
666,1499,7106,257
667,1500,16248,257
668,1501,212,73
669,1502,273,118
670,1503,1379,219
671,1504,144,57
672,1507,402,138
673,1508,214,85
674,1509,216,132
675,1510,26,19
676,1511,168,68
677,1513,9798,257
678,1514,139,80
679,1515,4617,257
680,1516,483,114
681,1517,26784,256
682,1518,3296,242
683,1519,128,74
684,1520,157,75
685,1522,39,26
686,1523,370,120
687,1525,358,115
688,1526,856,193
689,1527,36269,256
690,1528,30,24
691,1529,286,154
692,1531,77,46
693,1532,70,40
694,1533,346,122
695,1535,783,134
696,1537,4644,250
697,1538,147,75
698,1539,303,119
699,1541,2285,233
700,1542,2286,227
701,1543,78,35
702,1544,17684,256
703,1545,663,169
704,1546,455,179
705,1547,300,122
706,1548,42,34
707,1549,135,65
708,1550,718,144
709,1551,336,121
710,1552,17080,255
711,1553,37,26
712,1554,1391,210
713,1555,74,42
714,1556,6276,255
715,1557,24,17
716,1558,36,28
717,1559,16,12
718,1561,42,32
719,1562,11569,255
720,1563,224,92
721,1564,290,121
722,1565,260,108
723,1566,7688,255
724,1567,83,56
725,1568,13,10
726,1569,12436,255
727,1571,483,127
728,1573,22272,255
729,1574,131,69
730,1575,165,78
731,1577,38,36
732,1578,28,21
733,1579,43,33
734,1580,44287,254
735,1581,683,149
736,1582,519,145
737,1583,279,119
738,1584,24808,254
739,1585,218,80
740,1586,8491,254
741,1588,5125,254
742,1589,5830,252
743,1590,8511,253
744,1591,6508,254
745,1592,1641,247
746,1593,1820,235
747,1594,2743,235
748,1595,1103,213
749,1596,528,123
750,1597,12683,254
751,1598,1004,183
752,1599,601,186
753,1600,732,155
754,1601,696,150
755,1602,496,165
756,1603,3440,246
757,1604,865,184
758,1605,975,190
759,1606,930,179
760,1608,17114,253
761,1609,807,218
762,1612,484,101
763,1613,270,73
764,1614,5198,247
765,1615,2821,245
766,1616,4531,246
767,1617,32553,253
768,1619,5962,253
769,1620,5471,251
770,1621,754,151
771,1622,63,37
772,1623,1175,216
773,1624,525,118
774,1625,20986,253
775,1626,817,176
776,1627,2858,245
777,1628,53,41
778,1629,983,178
779,1630,20,12
780,1631,521,177
781,1632,183,75
782,1633,2599,200
783,1635,6280,252
784,1636,88,48
785,1639,16300,253
786,1640,546,120
787,1641,17621,253
788,1642,724,110
789,1643,2894,234
790,1644,9343,252
791,1645,15215,252
792,1646,924,200
793,1647,720,142
794,1648,1665,214
795,1649,1532,186
796,1650,462,114
797,1651,157,78
798,1652,91,63
799,1653,24537,252
800,1654,688,157
801,1655,775,192
802,1656,141,76
803,1657,164,62
804,1658,2004,237
805,1659,104,54
806,1660,1328,167
807,1661,675,168
808,1662,243,99
809,1664,78,52
810,1665,4216,251
811,1666,151,71
812,1667,1149,188
813,1668,317,111
814,1669,342,110
815,1670,762,144
816,1671,307,116
817,1672,4651,246
818,1673,16149,251
819,1675,131,72
820,1676,19257,251
821,1677,183,76
822,1679,204,96
823,1680,8480,250
824,1681,2616,250
825,1682,36016,250
826,1683,2016,190
827,1684,652,139
828,1685,97,64
829,1686,1048,182
830,1687,5644,251
831,1688,5216,251
832,1689,2237,240
833,1690,13736,250
834,1692,126,68
835,1693,5677,250
836,1694,3193,226
837,1695,218,102
838,1696,285,146
839,1697,26,21
840,1698,58,43
841,1699,1215,182
842,1701,3368,241
843,1702,5169,250
844,1703,794,194
845,1704,42769,250
846,1705,18,15
847,1706,18,15
848,1707,3445,250
849,1708,18,11
850,1709,33,18
