movieId,title,release,title_lower,new_title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,Western
61,Eye for an Eye,1996.0,eye for an eye,eye for an eye,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996.0,don't be a menace to south central while drinking your juice in the hood,don't be a menace to south central while drinking your juice in the hood,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64,Two if by Sea,1996.0,two if by sea,two if by sea,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
65,Bio-Dome,1996.0,bio-dome,bio-dome,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,Lawnmower Man 2: Beyond Cyberspace,1996.0,lawnmower man 2: beyond cyberspace,lawnmower man 2: beyond cyberspace,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
70,From Dusk Till Dawn,1996.0,from dusk till dawn,from dusk till dawn,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
74,Bed of Roses,1996.0,bed of roses,bed of roses,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
75,Big Bully,1996.0,big bully,big bully,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
79,"Juror, The",1996.0,"juror, the",the juror,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
86,White Squall,1996.0,white squall,white squall,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,Dunston Checks In,1996.0,dunston checks in,dunston checks in,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
88,Black Sheep,1996.0,black sheep,black sheep,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,Mary Reilly,1996.0,mary reilly,mary reilly,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
94,Beautiful Girls,1996.0,beautiful girls,beautiful girls,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
95,Broken Arrow,1996.0,broken arrow,broken arrow,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,City Hall,1996.0,city hall,city hall,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
101,Bottle Rocket,1996.0,bottle rocket,bottle rocket,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
102,Mr. Wrong,1996.0,mr. wrong,mr. wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,Unforgettable,1996.0,unforgettable,unforgettable,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
104,Happy Gilmore,1996.0,happy gilmore,happy gilmore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,Muppet Treasure Island,1996.0,muppet treasure island,muppet treasure island,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
108,Catwalk,1996.0,catwalk,catwalk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
113,Before and After,1996.0,before and after,before and after,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
118,If Lucy Fell,1996.0,if lucy fell,if lucy fell,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
120,Race the Sun,1996.0,race the sun,race the sun,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
125,Flirting With Disaster,1996.0,flirting with disaster,flirting with disaster,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,Pie in the Sky,1996.0,pie in the sky,pie in the sky,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
135,Down Periscope,1996.0,down periscope,down periscope,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,Up Close and Personal,1996.0,up close and personal,up close and personal,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
141,"Birdcage, The",1996.0,"birdcage, the",the birdcage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
291,Poison Ivy II,1996.0,poison ivy ii,poison ivy ii,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
402,Open Season,1996.0,open season,open season,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
494,Executive Decision,1996.0,executive decision,executive decision,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
604,Criminals,1996.0,criminals,criminals,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
605,One Fine Day,1996.0,one fine day,one fine day,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
608,Fargo,1996.0,fargo,fargo,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0
609,Homeward Bound II: Lost in San Francisco,1996.0,homeward bound ii: lost in san francisco,homeward bound ii: lost in san francisco,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
611,Hellraiser: Bloodline,1996.0,hellraiser: bloodline,hellraiser: bloodline,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
612,"Pallbearer, The",1996.0,"pallbearer, the",the pallbearer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
613,Jane Eyre,1996.0,jane eyre,jane eyre,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
619,Ed,1996.0,ed,ed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
626,"Thin Line Between Love and Hate, A",1996.0,"thin line between love and hate, a",a thin line between love and hate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
628,Primal Fear,1996.0,primal fear,primal fear,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
630,Carried Away,1996.0,carried away,carried away,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
631,All Dogs Go to Heaven 2,1996.0,all dogs go to heaven 2,all dogs go to heaven 2,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
635,"Family Thing, A",1996.0,"family thing, a",a family thing,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
637,Sgt. Bilko,1996.0,sgt. bilko,sgt. bilko,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
639,Girl 6,1996.0,girl 6,girl 6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
640,Diabolique,1996.0,diabolique,diabolique,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
643,Peanuts - Die Bank zahlt alles,1996.0,peanuts - die bank zahlt alles,peanuts - die bank zahlt alles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
644,Happy Weekend,1996.0,happy weekend,happy weekend,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
647,Courage Under Fire,1996.0,courage under fire,courage under fire,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
648,Mission: Impossible,1996.0,mission: impossible,mission: impossible,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
650,Moll Flanders,1996.0,moll flanders,moll flanders,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
651,"Superweib, Das",1996.0,"superweib, das",das superweib,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
653,Dragonheart,1996.0,dragonheart,dragonheart,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
654,And Nobody Weeps for Me (Und keiner weint mir nach),1996.0,and nobody weeps for me (und keiner weint mir nach),and nobody weeps for me (und keiner weint mir nach),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
656,Eddie,1996.0,eddie,eddie,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
660,August,1996.0,august,august,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
661,James and the Giant Peach,1996.0,james and the giant peach,james and the giant peach,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0
662,Fear,1996.0,fear,fear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
663,Kids in the Hall: Brain Candy,1996.0,kids in the hall: brain candy,kids in the hall: brain candy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
664,Faithful,1996.0,faithful,faithful,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite),1996.0,bloodsport 2 (a.k.a. bloodsport ii: the next kumite),bloodsport 2 (a.k.a. bloodsport ii: the next kumite),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671,Mystery Science Theater 3000: The Movie,1996.0,mystery science theater 3000: the movie,mystery science theater 3000: the movie,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
673,Space Jam,1996.0,space jam,space jam,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
676,They Bite,1996.0,they bite,they bite,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
685,It's My Party,1996.0,it's my party,it's my party,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
691,Mrs. Winterbourne,1996.0,mrs. winterbourne,mrs. winterbourne,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
692,Solo,1996.0,solo,solo,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
694,"Substitute, The",1996.0,"substitute, the",the substitute,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
695,True Crime,1996.0,true crime,true crime,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
697,Feeling Minnesota,1996.0,feeling minnesota,feeling minnesota,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
703,Boys,1996.0,boys,boys,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
704,"Quest, The",1996.0,"quest, the",the quest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705,Cosi,1996.0,cosi,cosi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
706,Sunset Park,1996.0,sunset park,sunset park,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
707,Mulholland Falls,1996.0,mulholland falls,mulholland falls,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
708,"Truth About Cats & Dogs, The",1996.0,"truth about cats & dogs, the",the truth about cats & dogs,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
710,Celtic Pride,1996.0,celtic pride,celtic pride,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
711,Flipper,1996.0,flipper,flipper,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
719,Multiplicity,1996.0,multiplicity,multiplicity,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
720,Wallace & Gromit: The Best of Aardman Animation,1996.0,wallace & gromit: the best of aardman animation,wallace & gromit: the best of aardman animation,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
