,budget,company,country,director,gross,name,rating,released,runtime,score,star,votes,writer,release,movieId,title,title_lower,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,Western,profit,profit_margin
0,8000000.0,Columbia Pictures Corporation,USA,Rob Reiner,52287414.0,Stand by Me,R,1986-08-22,89,8.1,Wil Wheaton,299174,Stephen King,1986,1259,Stand by Me,stand by me,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,44287414.0,0.8469995092891762
1,6000000.0,Paramount Pictures,USA,John Hughes,70136369.0,Ferris Bueller's Day Off,PG-13,1986-06-11,103,7.8,Matthew Broderick,264740,John Hughes,1986,2918,Ferris Bueller's Day Off,ferris bueller's day off,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64136369.0,0.9144523720639145
2,15000000.0,Paramount Pictures,USA,Tony Scott,179800601.0,Top Gun,PG,1986-05-16,110,6.9,Tom Cruise,236909,Jim Cash,1986,1101,Top Gun,top gun,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,164800601.0,0.9165742499381301
3,18500000.0,Twentieth Century Fox Film Corporation,USA,James Cameron,85160248.0,Aliens,R,1986-07-18,137,8.4,Sigourney Weaver,540152,James Cameron,1986,1200,Aliens,aliens,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,66660248.0,0.7827624926597208
4,9000000.0,Walt Disney Pictures,USA,Randal Kleiser,18564613.0,Flight of the Navigator,PG,1986-08-01,90,6.9,Joey Cramer,36636,Mark H. Baker,1986,2046,Flight of the Navigator,flight of the navigator,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9564613.0,0.5152066999726846
5,6000000.0,Hemdale,UK,Oliver Stone,138530565.0,Platoon,R,1987-02-06,120,8.1,Charlie Sheen,317585,Oliver Stone,1986,1090,Platoon,platoon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,132530565.0,0.9566882586525219
6,25000000.0,Henson Associates (HA),UK,Jim Henson,12729917.0,Labyrinth,PG,1986-06-27,101,7.4,David Bowie,102879,Dennis Lee,1986,1967,Labyrinth,labyrinth,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-12270083.0,-0.9638776906400882
7,6000000.0,De Laurentiis Entertainment Group (DEG),USA,David Lynch,8551228.0,Blue Velvet,R,1986-10-23,120,7.8,Isabella Rossellini,146768,David Lynch,1986,2076,Blue Velvet,blue velvet,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2551228.0,0.2983463895477936
8,9000000.0,Paramount Pictures,USA,Howard Deutch,40471663.0,Pretty in Pink,PG-13,1986-02-28,96,6.8,Molly Ringwald,60565,John Hughes,1986,2145,Pretty in Pink,pretty in pink,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,31471663.0,0.7776221846875924
9,15000000.0,SLM Production Group,USA,David Cronenberg,40456565.0,The Fly,R,1986-08-15,96,7.5,Jeff Goldblum,129698,George Langelaan,1986,2455,"Fly, The","fly, the",0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,25456565.0,0.6292319923849194
10,8800000.0,Rimfire Films,Australia,Peter Faiman,174635000.0,Crocodile Dundee,PG-13,1986-09-26,97,6.5,Paul Hogan,79465,Ken Shadie,1986,2470,Crocodile Dundee,crocodile dundee,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165835000.0,0.949609184871303
11,16000000.0,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,5900000.0,Highlander,R,1986-03-07,116,7.2,Christopher Lambert,104860,Gregory Widen,1986,1275,Highlander,highlander,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-10100000.0,-1.7118644067796611
12,6000000.0,Twentieth Century Fox Film Corporation,USA,David Seltzer,8200000.0,Lucas,PG-13,1986-03-28,100,6.8,Corey Haim,12228,David Seltzer,1986,3480,Lucas,lucas,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2200000.0,0.2682926829268293
13,25000000.0,Twentieth Century Fox Film Corporation,USA,John Carpenter,11100000.0,Big Trouble in Little China,PG-13,1986-07-02,99,7.3,Kurt Russell,101678,Gary Goldman,1986,3740,Big Trouble in Little China,big trouble in little china,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-13900000.0,-1.2522522522522523
14,15000000.0,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,8620929.0,Manhunter,R,1986-08-15,120,7.2,William Petersen,54000,Thomas Harris,1986,4210,Manhunter,manhunter,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,-6379071.0,-0.7399516919812238
15,10000000.0,De Laurentiis Entertainment Group (DEG),USA,Stephen King,7433663.0,Maximum Overdrive,R,1986-07-25,98,5.4,Emilio Estevez,24881,Stephen King,1986,2119,Maximum Overdrive,maximum overdrive,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2566337.0,-0.3452318190910726
